keyword,frequency
satisfied,1909
not,1666
happy,849
quality,644
performance,641
very,607
disappointed,607
overall,582
dissatisfied,504
unhappy,405
experience,354
display,335
build,332
battery,325
impressed,312
somewhat,266
purchase,266
product,263
daily,261
software,259
features,248
though,248
completely,246
price,243
speed,236
yet,233
heating,180
life,178
extremely,173
design,169
about,169
multitasking,167
either,165
connectivity,164
camera,163
results,163
fully,163
charging,161
works,158
stability,156
expectations,139
there,98
room,98
improvement,98
average,97
frustrated,95
all,95
impressive,94
acceptable,94
issue,93
okay,91
brightness,91
clean,90
lags,90
setup,90
process,90
quick,90
easy,90
pricing,90
responsive,90
far,90
while,90
speakers,90
sometimes,90
so,90
screen,90
generally,90
adequately,89
tasks,89
performs,89
could,88
better,88
regret,88
buying,88
usage,88
neutral,88
quickly,87
considering,87
overheats,87
facing,87
how,87
issues,87
during,87
heavy,87
use,87
excellent,87
smooth,87
some,87
good,86
value,86
worth,86
delivers,86
slow,86
sound,85
occasional,84
lag,84
using,84
longterm,84
sharp,83
vibrant,83
balanced,81
fine,79
neither,79
nor,79
offered,79
flawlessly,79
customer,79
moderately,79
support,79
improvements,78
needed,78
durability,77
durable,75
solid,75
feels,75
exceeded,74
my,74
way,74
every,74
stylish,72
premium,72
looks,72
pleased,71
backup,71
fair,70
lowlight,68
audio,68
clear,68
immersive,68
meets,65
nothing,65
more,65
partially,65
